# DATA FROM Tremblay et al. 2016 10.1093/mnras/stw2854
# Compares MASSES AND RADII FROM SATELLITES HIPPARCOS (MassH) AND GAIA (MassG)
# Units of Mass and e_Mass (error): [M_sun]
# Units of Radius and e_Rad (error): [0.01R_sun]
Sample,Name,MassH,e_MassH,RadH,e_RadH,MassG,e_MassG,RadG,e_RadG,RadMRR,e_RadMRR
D,"0148+467",0.612,0.088,1.237,0.068,,,,,1.259,0.034
D,"0227+050",0.597,0.182,1.387,0.196,,,,,1.372,0.048
D,"0232+035",0.703,0.596,2.771,1.153,0.49,0.101,2.313,0.147,2.384,0.151
D,"0310-688",0.587,0.06,1.144,0.025,,,,,1.221,0.034
D,"0439+466",0.506,0.104,2.858,0.126,,,,,2.96,0.226
D,"0501+527",0.674,0.26,2.282,0.419,,,,,2.049,0.091
D,"0644+375",0.49,0.08,1.034,0.059,,,,,1.222,0.044
D,"1134+300",0.935,0.153,0.84,0.049,,,,,0.857,0.036
D,"1314+293",0.638,0.312,1.501,0.346,0.516,0.091,1.351,0.046,1.522,0.087
D,"1327-083",0.706,0.117,1.408,0.096,,,,,1.304,0.035
D,"1337+705",0.512,0.101,1.285,0.103,,,,,1.376,0.048
D,"1620-391",0.51,0.06,1.239,0.045,,,,,1.36,0.039
D,"1647+591",0.806,0.106,1.005,0.031,0.86,0.102,1.038,0.015,1.013,0.038
D,"2007-303",0.572,0.101,1.282,0.096,,,,,1.316,0.036
D,"2032+248",0.725,0.104,1.378,0.059,,,,,1.291,0.046
D,"2039-202",0.565,0.104,1.274,0.102,,,,,1.326,0.037
D,"2117+539",0.744,0.227,1.584,0.224,0.573,0.069,1.391,0.026,1.376,0.046
D,"2149+021",0.847,0.218,1.507,0.181,,,,,1.294,0.036
D,"2341+322",0.528,0.06,1.176,0.039,,,,,1.274,0.035
W,"0030+444",0.851,0.257,1.476,0.206,0.549,0.081,1.185,0.055,1.258,0.042
W,"0148+641",,,,,0.687,0.086,1.169,0.028,1.165,0.04
W,"0220+222",,,,,0.561,0.075,1.171,0.039,1.255,0.044
W,"0250-007",,,,,0.842,0.152,1.207,0.048,1.116,0.055
W,"0315-011",0.466,0.579,1.171,0.093,,,,,1.3,0.382
W,"0413-077",0.556,0.053,1.308,0.016,,,,,1.346,0.037
W,"0415-594",0.484,0.028,1.323,0.024,,,,,1.406,0.019
W,"0615-591",0.622,0.106,1.247,0.035,,,,,1.263,0.061
W,"0642-166",0.872,0.084,0.802,0.012,,,,,0.851,0.029
W,"0642-285",,,,,0.478,0.064,1.329,0.044,1.392,0.044
W,"0842+490",0.615,0.106,1.171,0.075,,,,,1.266,0.049
W,"1130+189",,,,,,,2.061,0.241,1.012,0.046
W,"1209-060",0.644,0.353,1.299,0.094,0.615,0.328,1.27,0.043,1.256,0.18
W,"1304+227",,,,,1.021,0.228,1.314,0.052,1.111,0.071
W,"1354+340",0.978,0.255,1.528,0.179,0.85,0.121,1.425,0.059,1.243,0.043
W,"1544-377",0.539,0.055,1.273,0.029,0.539,0.055,1.273,0.027,1.318,0.035
W,"1554+215",,,,,0.492,0.076,1.303,0.068,1.424,0.052
W,"1619+123",0.439,0.063,1.274,0.069,0.521,0.055,1.388,0.034,1.421,0.039
W,"1623-540",,,,,0.409,0.048,1.122,0.042,1.33,0.035
W,"1659-531",0.663,0.067,1.244,0.026,,,,,1.236,0.034
W,"1706+332",0.426,0.081,1.158,0.075,0.449,0.07,1.189,0.041,1.345,0.054
W,"1710+683",,,,,0.47,0.69,1.333,0.09,1.39,0.449
W,"1743-132",0.43,0.117,1.074,0.133,0.573,0.071,1.239,0.029,1.282,0.043
W,"2048+809",,,,,,,2.018,0.144,1.188,0.057
W,"PM J21117+0120",,,,,0.597,0.103,1.194,0.077,1.247,0.044
W,"2129+000",1.079,0.409,1.275,0.121,0.985,0.329,1.219,0.037,1.078,0.111
W,"HS 2229+2335",,,,,0.593,0.151,1.336,0.097,1.344,0.085
W,"SDSS J2245-1002",,,,,0.944,0.147,1.063,0.066,0.994,0.03
W,"2253-081",0.417,0.183,1.316,0.069,0.395,0.171,1.281,0.046,1.425,0.158
W,"2258+406",,,,,0.733,0.12,1.179,0.052,1.151,0.048
W,"2350-083",,,,,0.361,0.077,1.117,0.101,1.399,0.048
