# E(MeVfm-3)    P(MeVfm-3)    rho/rho0      rho              xp            xn             xe             xmu
   75.7801      0.177740      0.500000      0.800000E-01  0.278616E-01  0.972138      0.278614E-01   0.00000    
   90.4094      0.509601      0.595960      0.953535E-01  0.313562E-01  0.968644      0.313561E-01   0.00000    
   105.082      0.800822      0.691919      0.110707      0.346045E-01  0.965396      0.346043E-01   0.00000    
   119.807       1.20051      0.787879      0.126061      0.376456E-01  0.962354      0.376454E-01   0.00000    
   134.593       1.66858      0.883838      0.141414      0.410056E-01  0.958994      0.403775E-01  0.628043E-03
   149.445       2.15873      0.979798      0.156768      0.452620E-01  0.954738      0.426395E-01  0.262253E-02
   164.371       2.87756       1.07576      0.172121      0.495966E-01  0.950403      0.446474E-01  0.494926E-02
   179.379       3.78195       1.17172      0.187475      0.538242E-01  0.946176      0.464725E-01  0.735174E-02
   194.473       4.87184       1.26768      0.202828      0.578857E-01  0.942114      0.481537E-01  0.973202E-02
   209.662       6.15313       1.36364      0.218182      0.617641E-01  0.938236      0.497167E-01  0.120474E-01
   224.952       7.63294       1.45960      0.233535      0.654585E-01  0.934542      0.511799E-01  0.142786E-01
   240.348       9.31776       1.55556      0.248889      0.689763E-01  0.931024      0.525571E-01  0.164193E-01
   255.856       11.2139       1.65152      0.264242      0.723281E-01  0.927672      0.538589E-01  0.184691E-01
   271.482       13.3280       1.74747      0.279596      0.755239E-01  0.924476      0.550945E-01  0.204294E-01
   287.230       15.6646       1.84343      0.294949      0.785753E-01  0.921425      0.562706E-01  0.223047E-01
   303.105       18.2290       1.93939      0.310303      0.814927E-01  0.918507      0.573933E-01  0.240994E-01
   319.113       21.0256       2.03535      0.325657      0.842859E-01  0.915714      0.584676E-01  0.258183E-01
   335.257       24.0582       2.13131      0.341010      0.869643E-01  0.913036      0.594977E-01  0.274666E-01
   351.542       27.3316       2.22727      0.356364      0.895352E-01  0.910465      0.604875E-01  0.290477E-01
   367.971       30.8478       2.32323      0.371717      0.920067E-01  0.907993      0.614402E-01  0.305666E-01
   384.549       34.6102       2.41919      0.387071      0.943857E-01  0.905614      0.623585E-01  0.320272E-01
   401.278       38.6215       2.51515      0.402424      0.966782E-01  0.903322      0.632450E-01  0.334332E-01
   418.163       42.8842       2.61111      0.417778      0.988900E-01  0.901110      0.641018E-01  0.347882E-01
   435.207       47.3998       2.70707      0.433131      0.101026      0.898974      0.649309E-01  0.360955E-01
   452.412       52.1723       2.80303      0.448485      0.103092      0.896908      0.657344E-01  0.373573E-01
   469.781       57.2010       2.89899      0.463838      0.105090      0.894910      0.665136E-01  0.385767E-01
   487.318       62.4885       2.99495      0.479192      0.107026      0.892974      0.672700E-01  0.397564E-01
   505.025       68.0361       3.09091      0.494545      0.108903      0.891097      0.680050E-01  0.408984E-01
   522.904       73.8445       3.18687      0.509899      0.110725      0.889275      0.687196E-01  0.420053E-01
   540.959       79.9168       3.28283      0.525253      0.112493      0.887507      0.694153E-01  0.430782E-01
   559.190       86.2506       3.37879      0.540606      0.114212      0.885788      0.700927E-01  0.441197E-01
   577.601       92.8485       3.47475      0.555960      0.115884      0.884116      0.707528E-01  0.451316E-01
   596.194       99.7153       3.57071      0.571313      0.117511      0.882489      0.713970E-01  0.461138E-01
   614.970       106.843       3.66667      0.586667      0.119095      0.880905      0.720255E-01  0.470696E-01
   633.931       114.238       3.76263      0.602020      0.120639      0.879361      0.726392E-01  0.479997E-01
   653.080       121.900       3.85859      0.617374      0.122144      0.877856      0.732388E-01  0.489052E-01
   672.418       129.829       3.95455      0.632727      0.123612      0.876388      0.738249E-01  0.497874E-01
   691.947       138.025       4.05051      0.648081      0.125046      0.874954      0.743982E-01  0.506474E-01
   711.668       146.489       4.14646      0.663434      0.126445      0.873555      0.749591E-01  0.514861E-01
   731.583       155.216       4.24242      0.678788      0.127814      0.872186      0.755079E-01  0.523056E-01
   751.693       164.219       4.33838      0.694141      0.129151      0.870849      0.760457E-01  0.531050E-01
   772.000       173.486       4.43434      0.709495      0.130458      0.869542      0.765726E-01  0.538858E-01
   792.506       183.021       4.53030      0.724848      0.131738      0.868262      0.770890E-01  0.546489E-01
   813.210       192.824       4.62626      0.740202      0.132990      0.867010      0.775954E-01  0.553949E-01
   834.116       202.896       4.72222      0.755556      0.134217      0.865783      0.780922E-01  0.561247E-01
   855.223       213.235       4.81818      0.770909      0.135418      0.864582      0.785797E-01  0.568388E-01
   876.533       223.842       4.91414      0.786263      0.136596      0.863404      0.790582E-01  0.575378E-01
   898.048       234.717       5.01010      0.801616      0.137750      0.862250      0.795280E-01  0.582224E-01
   919.767       245.860       5.10606      0.816970      0.138883      0.861117      0.799896E-01  0.588931E-01
   941.693       257.271       5.20202      0.832323      0.139993      0.860007      0.804430E-01  0.595503E-01
   963.827       268.957       5.29798      0.847677      0.141083      0.858917      0.808892E-01  0.601935E-01
   986.168       280.896       5.39394      0.863030      0.142153      0.857847      0.813275E-01  0.608252E-01
   1008.72       293.109       5.48990      0.878384      0.143203      0.856797      0.817585E-01  0.614450E-01
   1031.48       305.589       5.58586      0.893737      0.144236      0.855764      0.821825E-01  0.620531E-01
   1054.45       318.335       5.68182      0.909091      0.145250      0.854750      0.825996E-01  0.626500E-01
   1077.63       331.348       5.77778      0.924444      0.146246      0.853754      0.830102E-01  0.632361E-01
   1101.03       344.628       5.87374      0.939798      0.147226      0.852774      0.834143E-01  0.638117E-01
   1124.64       358.174       5.96970      0.955151      0.148190      0.851810      0.838123E-01  0.643772E-01
   1148.46       371.985       6.06566      0.970505      0.149137      0.850863      0.842042E-01  0.649329E-01
   1172.49       386.062       6.16162      0.985859      0.150069      0.849931      0.845903E-01  0.654792E-01
   1196.75       400.405       6.25758       1.00121      0.150987      0.849013      0.849707E-01  0.660162E-01
   1221.21       415.012       6.35354       1.01657      0.151890      0.848110      0.853456E-01  0.665444E-01
   1245.90       429.884       6.44949       1.03192      0.152779      0.847221      0.857152E-01  0.670639E-01
   1270.80       445.007       6.54545       1.04727      0.153655      0.846345      0.860790E-01  0.675763E-01
   1295.92       460.421       6.64141       1.06263      0.154518      0.845482      0.864382E-01  0.680795E-01
   1321.25       476.086       6.73737       1.07798      0.155367      0.844633      0.867924E-01  0.685747E-01
   1346.81       492.015       6.83333       1.09333      0.156204      0.843796      0.871419E-01  0.690624E-01
   1372.58       508.207       6.92929       1.10869      0.157029      0.842971      0.874867E-01  0.695426E-01
   1398.58       524.663       7.02525       1.12404      0.157842      0.842158      0.878269E-01  0.700156E-01
   1424.79       541.381       7.12121       1.13939      0.158644      0.841356      0.881626E-01  0.704815E-01
   1451.23       558.362       7.21717       1.15475      0.159435      0.840565      0.884941E-01  0.709407E-01
   1477.89       575.606       7.31313       1.17010      0.160214      0.839786      0.888213E-01  0.713932E-01
   1504.77       593.111       7.40909       1.18545      0.160984      0.839016      0.891443E-01  0.718392E-01
   1531.87       610.878       7.50505       1.20081      0.161742      0.838258      0.894634E-01  0.722789E-01
   1559.19       628.907       7.60101       1.21616      0.162491      0.837509      0.897785E-01  0.727125E-01
   1586.74       647.198       7.69697       1.23152      0.163230      0.836770      0.900898E-01  0.731402E-01
